Game_Name, Game_Tag,Rank, Price
Last of Ass,RPG  Adventure  Horror  Survival,309,3.25
Public Defense Corp,RPG  Indie  Sexual Content  Female Protagonist,310,14.5
Tarek,Casual  Adventure  Puzzle  Arcade,311,10
Golf Around!,Sports  Casual  Simulation  Indie,312,5.25
Rise of dragons,Early Access  RPG  Adventure  Casual,313,0
Tallowmere 2: Curse of the Kittens,Action Roguelike  2D Platformer  Online Co-Op  Local Co-Op,314,10
THE CORRIDOR,Comedy  Psychological  Narration  Singleplayer,315,2.15
The MoneyMakers Rallye,Indie  Casual  Board Game,316,15
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,JRPG  RPG  Turn-Based Combat  Party-Based RPG,317,54.9
Crumble,3D Platformer  Platformer  Indie  Adventure,318,14.5
Guntastic,Indie  Casual  Action  Beat 'em up,319,13
Aefen Fall,Parkour  First-Person  Action  Singleplayer,320,7.5
Suzerain,Choose Your Own Adventure  Management  Political Sim  Interactive Fiction,321,14.5
Isolomus,Indie  Casual  Short  Psychological Horror,322,1.1
Tanuki Sunset,Racing  Action  Indie  Sports,323,14.5
Blast Brawl 2,Beat 'em up  Side Scroller  2D Fighter  2D Platformer,324,10
Nine Witches: Family Disruption,Pixel Graphics  Adventure  Point & Click  Indie,325,12.02
Meatball,Casual  Adventure  Puzzle  Platformer,326,1.1
football girl,Casual  Sports  Simulation  RPG,327,0
Leaf Blower Revolution - Idle Game,Casual  Clicker  Idler  2D,328,0
Tavern of Gods,Early Access  Roguelite  Replay Value  Auto Battler,329,14
Phoenix Point: Year One Edition,Tactical  Turn-Based Strategy  Grand Strategy  Third-Person Shooter,330,49
Creeper World 4,Strategy  Indie  RTS  Casual,331,22
Per Aspera,Base Building  Colony Sim  City Builder  Space,332,26
Rekt: Crash Test,Action  Racing  Sports  Casual,333,0
El Hijo - A Wild West Tale,Casual  Exploration  Tutorial  Stealth,334,20
Tinkertown,Adventure  Indie  RPG  Early Access,335,16
Shadow Empire,Strategy  Simulation  RPG  4X,336,34
Arise: A Simple Story,Adventure  Indie  Puzzle Platformer  Time Manipulation,337,19.5
Morbid: The Seven Acolytes,Adventure  Souls-like  RPG  Action,338,22
Haven,Adventure  Romance  Story Rich  RPG,339,22
PHOGS!,Adventure  Co-op  Indie  Puzzle Platformer,340,22
Naginata,Action-Adventure  Character Action Game  Shooter  Fighting,341,0
WATCH / ??,Puzzle Platformer  Platformer  Puzzle  Casual,342,11
3 Minute Heroes,Strategy  Card Game  Early Access  Tower Defense,343,18.5
????? Babel,Casual  Colony Sim  Base Building  Tower Defense,344,4.2
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,RPG  Roguelike  Mystery Dungeon  Dungeon Crawler,345,18.5
HOUSE OF GOD,Action  Roguelike  Shooter  Action Roguelike,346,5.25
Self-Isolation,Atmospheric  Indie  Dark  Adventure,347,4.25
BROK the InvestiGator - Prologue,Beat 'em up  RPG  Investigation  Point & Click,348,0
Wet steps,Adventure  Visual Novel  Dating Sim  2D,349,2.15
I Am Your President: Prologue,Management  Singleplayer  Funny  Economy,350,0
Sam & Max Save the World,Adventure  Point & Click  Puzzle  Comic Book,351,18.5
Sumerians,Simulation  Strategy  City Builder  Early Access,352,14.5
wonShot,Top-Down Shooter  Casual  Shooter  Arcade,353,5.25
100 hidden birds,Casual  Adventure  Hidden Object  Family Friendly,354,1.1
Box Cats Puzzle,Casual  Puzzle Platformer  Cats  Cute,355,2.15
Marble Parkour,Casual  Adventure  Arcade  Hidden Object,356,0.55
Forge and Fight!,Casual  Indie  Funny  Multiplayer,357,6
Summerland,Adventure  Story Rich  Walking Simulator  Atmospheric,358,0
Smart Thief,Casual  Simulation  Strategy  Arcade,359,0.55
Elite Commander,Casual  Sports  Action  Singleplayer,360,0.55
Red Dead Online,Adventure  Action  Multiplayer  Open World,361,6.9
Project Wingman,Action  Flight  Indie  Jet,362,22
Empire of Sin,Strategy  RPG  Management  Turn-Based Tactics,363,34
Fallout 76,Dark Comedy  RPG  Open World  Post-apocalyptic,364,53.99
Worms Rumble,Multiplayer  Battle Royale  2.5D  Arena Shooter,365,18.5
Nickelodeon Kart Racers 2: Grand Prix,Casual  Racing  Action  Action-Adventure,366,18.5
Ruff Night At The Gallery,Horror  Cute  Puzzle  Walking Simulator,367,0
Rubber Bandits: Christmas Prologue,Party Game  Heist  Comedy  Physics,368,0
The Life and Suffering of Sir Brante — Chapter 1&2,Choose Your Own Adventure  Interactive Fiction  Diplomacy  Visual Novel,369,0
AOD: Art Of Defense,Real Time Tactics  Tower Defense  Wargame  PvE,370,0
Demon heart,Pixel Graphics  Adventure  2D  Singleplayer,371,5.25
Hoser Hockey,Action  Indie  Sports  Simulation,372,8.5
Football Manager 2021 Touch,Simulation  Sports  Management  Singleplayer,373,35
?kashicverse -Malicious Wake-,Action  Indie  Bullet Hell  Shoot 'Em Up,374,10
Mrs. Santa's Gift Hunt,JRPG  Collectathon  Casual  Exploration,375,0
Darkanoid,Casual  Action  Indie  Arcade,376,3.25
Mini War - Three Kingdoms,Strategy  Tactical RPG  Minimalist  Clicker,377,5.25
Mixolumia,Arcade  Music  Colorful  Puzzle,378,9
Day of vaccination,Action  Indie  Casual  Adventure,379,13
